x,y,z,setosa,versicolor,virginica
3.5,5.1,Iris-setosa,1,0,0
3,4.9,Iris-setosa,1,0,0
3.2,4.7,Iris-setosa,1,0,0
3.1,4.6,Iris-setosa,1,0,0
3.6,5,Iris-setosa,1,0,0
3.9,5.4,Iris-setosa,1,0,0
3.4,4.6,Iris-setosa,1,0,0
3.4,5,Iris-setosa,1,0,0
2.9,4.4,Iris-setosa,1,0,0
3.1,4.9,Iris-setosa,1,0,0
3.7,5.4,Iris-setosa,1,0,0
3.4,4.8,Iris-setosa,1,0,0
3,4.8,Iris-setosa,1,0,0
3,4.3,Iris-setosa,1,0,0
4,5.8,Iris-setosa,1,0,0
4.4,5.7,Iris-setosa,1,0,0
3.9,5.4,Iris-setosa,1,0,0
3.5,5.1,Iris-setosa,1,0,0
3.8,5.7,Iris-setosa,1,0,0
3.8,5.1,Iris-setosa,1,0,0
3.4,5.4,Iris-setosa,1,0,0
3.7,5.1,Iris-setosa,1,0,0
3.6,4.6,Iris-setosa,1,0,0
3.3,5.1,Iris-setosa,1,0,0
3.4,4.8,Iris-setosa,1,0,0
3,5,Iris-setosa,1,0,0
3.4,5,Iris-setosa,1,0,0
3.5,5.2,Iris-setosa,1,0,0
3.4,5.2,Iris-setosa,1,0,0
3.2,4.7,Iris-setosa,1,0,0
3.1,4.8,Iris-setosa,1,0,0
3.4,5.4,Iris-setosa,1,0,0
4.1,5.2,Iris-setosa,1,0,0
4.2,5.5,Iris-setosa,1,0,0
3.1,4.9,Iris-setosa,1,0,0
3.2,5,Iris-setosa,1,0,0
3.5,5.5,Iris-setosa,1,0,0
3.1,4.9,Iris-setosa,1,0,0
3,4.4,Iris-setosa,1,0,0
3.4,5.1,Iris-setosa,1,0,0
3.5,5,Iris-setosa,1,0,0
2.3,4.5,Iris-setosa,1,0,0
3.2,4.4,Iris-setosa,1,0,0
3.5,5,Iris-setosa,1,0,0
3.8,5.1,Iris-setosa,1,0,0
3,4.8,Iris-setosa,1,0,0
3.8,5.1,Iris-setosa,1,0,0
3.2,4.6,Iris-setosa,1,0,0
3.7,5.3,Iris-setosa,1,0,0
3.3,5,Iris-setosa,1,0,0
3.2,7,Iris-versicolor,0,1,0
3.2,6.4,Iris-versicolor,0,1,0
3.1,6.9,Iris-versicolor,0,1,0
2.3,5.5,Iris-versicolor,0,1,0
2.8,6.5,Iris-versicolor,0,1,0
2.8,5.7,Iris-versicolor,0,1,0
3.3,6.3,Iris-versicolor,0,1,0
2.4,4.9,Iris-versicolor,0,1,0
2.9,6.6,Iris-versicolor,0,1,0
2.7,5.2,Iris-versicolor,0,1,0
2,5,Iris-versicolor,0,1,0
3,5.9,Iris-versicolor,0,1,0
2.2,6,Iris-versicolor,0,1,0
2.9,6.1,Iris-versicolor,0,1,0
2.9,5.6,Iris-versicolor,0,1,0
3.1,6.7,Iris-versicolor,0,1,0
3,5.6,Iris-versicolor,0,1,0
2.7,5.8,Iris-versicolor,0,1,0
2.2,6.2,Iris-versicolor,0,1,0
2.5,5.6,Iris-versicolor,0,1,0
3.2,5.9,Iris-versicolor,0,1,0
2.8,6.1,Iris-versicolor,0,1,0
2.5,6.3,Iris-versicolor,0,1,0
2.8,6.1,Iris-versicolor,0,1,0
2.9,6.4,Iris-versicolor,0,1,0
3,6.6,Iris-versicolor,0,1,0
2.8,6.8,Iris-versicolor,0,1,0
3,6.7,Iris-versicolor,0,1,0
2.9,6,Iris-versicolor,0,1,0
2.6,5.7,Iris-versicolor,0,1,0
2.4,5.5,Iris-versicolor,0,1,0
2.4,5.5,Iris-versicolor,0,1,0
2.7,5.8,Iris-versicolor,0,1,0
2.7,6,Iris-versicolor,0,1,0
3,5.4,Iris-versicolor,0,1,0
3.4,6,Iris-versicolor,0,1,0
3.1,6.7,Iris-versicolor,0,1,0
2.3,6.3,Iris-versicolor,0,1,0
3,5.6,Iris-versicolor,0,1,0
2.5,5.5,Iris-versicolor,0,1,0
2.6,5.5,Iris-versicolor,0,1,0
3,6.1,Iris-versicolor,0,1,0
2.6,5.8,Iris-versicolor,0,1,0
2.3,5,Iris-versicolor,0,1,0
2.7,5.6,Iris-versicolor,0,1,0
3,5.7,Iris-versicolor,0,1,0
2.9,5.7,Iris-versicolor,0,1,0
2.9,6.2,Iris-versicolor,0,1,0
2.5,5.1,Iris-versicolor,0,1,0
2.8,5.7,Iris-versicolor,0,1,0
3.3,6.3,Iris-virginica,0,0,1
2.7,5.8,Iris-virginica,0,0,1
3,7.1,Iris-virginica,0,0,1
2.9,6.3,Iris-virginica,0,0,1
3,6.5,Iris-virginica,0,0,1
3,7.6,Iris-virginica,0,0,1
2.5,4.9,Iris-virginica,0,0,1
2.9,7.3,Iris-virginica,0,0,1
2.5,6.7,Iris-virginica,0,0,1
3.6,7.2,Iris-virginica,0,0,1
3.2,6.5,Iris-virginica,0,0,1
2.7,6.4,Iris-virginica,0,0,1
3,6.8,Iris-virginica,0,0,1
2.5,5.7,Iris-virginica,0,0,1
2.8,5.8,Iris-virginica,0,0,1
3.2,6.4,Iris-virginica,0,0,1
3,6.5,Iris-virginica,0,0,1
3.8,7.7,Iris-virginica,0,0,1
2.6,7.7,Iris-virginica,0,0,1
2.2,6,Iris-virginica,0,0,1
3.2,6.9,Iris-virginica,0,0,1
2.8,5.6,Iris-virginica,0,0,1
2.8,7.7,Iris-virginica,0,0,1
2.7,6.3,Iris-virginica,0,0,1
3.3,6.7,Iris-virginica,0,0,1
3.2,7.2,Iris-virginica,0,0,1
2.8,6.2,Iris-virginica,0,0,1
